,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,32,9,49,1,133,1,1,4,14,6,0.1,0.1
1,1,CARD_COMP,32,9,49,1,133,1,1,4,14,6,0.1,0.1
2,1,CLF_COMP,68,45,147,1,147,1,1,4,14,6,0.1,0.1
3,1,CLF_UNION,68,45,147,1,147,1,1,4,14,6,0.1,0.1
4,1,ORD-INTER,68,45,133,1,133,1,1,4,14,6,0.1,0.1
5,1,ORD-UNION,32,9,49,1,49,1,1,4,14,6,0.1,0.1
6,1,ORD-COMP,32,9,49,1,49,1,1,4,14,6,0.1,0.1
7,1,ORD-COMP,32,9,49,1,49,1,1,4,14,6,0.1,0.1
8,2,CARD,49,11,72,3,109,2,1,4,14,6,0.1,0.1
9,2,CARD_COMP,49,11,72,3,109,2,1,4,14,6,0.1,0.1
10,2,CLF_COMP,72,33,138,3,139,2,1,4,14,6,0.1,0.1
11,2,CLF_UNION,72,33,138,3,139,2,1,4,14,6,0.1,0.1
12,2,ORD-INTER,59,20,92,3,93,2,1,4,14,6,0.1,0.1
13,2,ORD-UNION,43,4,56,3,57,2,1,4,14,6,0.1,0.1
14,2,ORD-COMP,43,4,56,3,57,2,1,4,14,6,0.1,0.1
15,2,ORD-COMP,43,4,56,3,57,2,1,4,14,6,0.1,0.1
16,3,CARD,53,10,74,6,105,3,1,4,14,6,0.1,0.1
17,3,CARD_COMP,53,10,74,6,105,3,1,4,14,6,0.1,0.1
18,3,CLF_COMP,70,33,136,6,139,3,1,4,14,6,0.1,0.1
19,3,CLF_UNION,70,33,136,6,139,3,1,4,14,6,0.1,0.1
20,3,ORD-INTER,52,8,70,6,73,3,1,4,14,6,0.1,0.1
21,3,ORD-UNION,47,3,58,6,61,3,1,4,14,6,0.1,0.1
22,3,ORD-COMP,47,3,58,6,61,3,1,4,14,6,0.1,0.1
23,3,ORD-COMP,47,3,58,6,61,3,1,4,14,6,0.1,0.1
24,4,CARD,56,11,80,9,97,3,1,4,14,6,0.1,0.1
25,4,CARD_COMP,56,11,80,9,97,3,1,4,14,6,0.1,0.1
26,4,CLF_COMP,62,29,120,9,125,3,1,4,14,6,0.1,0.1
27,4,CLF_UNION,62,29,120,9,125,3,1,4,14,6,0.1,0.1
28,4,ORD-INTER,50,8,68,9,73,3,1,4,14,6,0.1,0.1
