,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,39,8,49,1,133,1,1,4,14,9,0.55,0.1
1,1,CARD_COMP,39,8,49,1,133,1,1,4,14,9,0.55,0.1
2,1,CLF_COMP,74,43,147,1,147,1,1,4,14,9,0.55,0.1
3,1,CLF_UNION,74,43,147,1,147,1,1,4,14,9,0.55,0.1
4,1,ORD-INTER,74,43,133,1,133,1,1,4,14,9,0.55,0.1
5,1,ORD-UNION,39,8,49,1,49,1,1,4,14,9,0.55,0.1
6,1,ORD-COMP,39,8,49,1,49,1,1,4,14,9,0.55,0.1
7,1,ORD-COMP,39,8,49,1,49,1,1,4,14,9,0.55,0.1
8,2,CARD,43,22,72,3,109,2,1,4,14,9,0.55,0.1
9,2,CARD_COMP,43,22,72,3,109,2,1,4,14,9,0.55,0.1
10,2,CLF_COMP,63,58,146,3,147,2,1,4,14,9,0.55,0.1
11,2,CLF_UNION,63,58,146,3,147,2,1,4,14,9,0.55,0.1
12,2,ORD-INTER,59,38,108,3,109,2,1,4,14,9,0.55,0.1
13,2,ORD-UNION,43,22,72,3,73,2,1,4,14,9,0.55,0.1
14,2,ORD-COMP,43,22,72,3,73,2,1,4,14,9,0.55,0.1
15,2,ORD-COMP,43,22,72,3,73,2,1,4,14,9,0.55,0.1
16,3,CARD,42,22,71,5,109,2,1,4,14,9,0.55,0.1
17,3,CARD_COMP,42,22,71,5,109,2,1,4,14,9,0.55,0.1
18,3,CLF_COMP,58,38,121,5,123,2,1,4,14,9,0.55,0.1
19,3,CLF_UNION,58,38,121,5,123,2,1,4,14,9,0.55,0.1
20,3,ORD-INTER,58,38,107,5,109,2,1,4,14,9,0.55,0.1
21,3,ORD-UNION,42,22,71,5,73,2,1,4,14,9,0.55,0.1
22,3,ORD-COMP,42,22,71,5,73,2,1,4,14,9,0.55,0.1
23,3,ORD-COMP,42,22,71,5,73,2,1,4,14,9,0.55,0.1
24,4,CARD,39,22,68,9,109,2,1,4,14,9,0.55,0.1
25,4,CARD_COMP,39,22,68,9,109,2,1,4,14,9,0.55,0.1
26,4,CLF_COMP,55,38,118,9,123,2,1,4,14,9,0.55,0.1
27,4,CLF_UNION,55,38,118,9,123,2,1,4,14,9,0.55,0.1
28,4,ORD-INTER,55,38,104,9,109,2,1,4,14,9,0.55,0.1
29,4,ORD-UNION,39,22,68,9,73,2,1,4,14,9,0.55,0.1
30,4,ORD-COMP,39,22,68,9,73,2,1,4,14,9,0.55,0.1
31,4,ORD-COMP,39,22,68,9,73,2,1,4,14,9,0.55,0.1
32,5,CARD,36,22,65,13,109,2,1,4,14,9,0.55,0.1
33,5,CARD_COMP,36,22,65,13,109,2,1,4,14,9,0.55,0.1
34,5,CLF_COMP,52,38,115,13,123,2,1,4,14,9,0.55,0.1
35,5,CLF_UNION,52,38,115,13,123,2,1,4,14,9,0.55,0.1
36,5,ORD-INTER,52,38,101,13,109,2,1,4,14,9,0.55,0.1
37,5,ORD-UNION,36,22,65,13,73,2,1,4,14,9,0.55,0.1
38,5,ORD-COMP,36,22,65,13,73,2,1,4,14,9,0.55,0.1
39,5,ORD-COMP,36,22,65,13,73,2,1,4,14,9,0.55,0.1
40,6,CARD,37,26,72,19,97,3,1,4,14,9,0.55,0.1
41,6,CARD_COMP,37,26,72,19,97,3,1,4,14,9,0.55,0.1
42,6,CLF_COMP,47,38,110,19,123,3,1,4,14,9,0.55,0.1
43,6,CLF_UNION,47,38,110,19,123,3,1,4,14,9,0.55,0.1
44,6,ORD-INTER,43,32,84,19,97,3,1,4,14,9,0.55,0.1
45,6,ORD-UNION,37,26,72,19,85,3,1,4,14,9,0.55,0.1
46,6,ORD-COMP,37,26,72,19,85,3,1,4,14,9,0.55,0.1
47,6,ORD-COMP,37,26,72,19,85,3,1,4,14,9,0.55,0.1
48,7,CARD,57,2,65,25,99,4,2,4,14,9,0.55,0.1
49,7,CARD_COMP,44,18,71,25,93,4,2,4,14,9,0.55,0.1
50,7,CLF_COMP,57,8,88,25,106,4,2,4,14,9,0.55,0.1
51,7,CLF_UNION,61,4,91,25,109,4,2,4,14,9,0.55,0.1
52,7,ORD-INTER,58,2,68,25,86,4,2,4,14,9,0.55,0.1
53,7,ORD-UNION,57,1,62,25,80,4,2,4,14,9,0.55,0.1
54,7,ORD-COMP,42,1,45,25,63,4,2,4,14,9,0.55,0.1
55,7,ORD-COMP,42,1,45,25,63,4,2,4,14,9,0.55,0.1
56,8,CARD,54,1,61,33,96,4,2,4,14,9,0.55,0.1
57,8,CARD_COMP,54,1,61,33,96,4,2,4,14,9,0.55,0.1
58,8,CLF_COMP,53,4,80,33,105,4,2,4,14,9,0.55,0.1
59,8,CLF_UNION,54,10,92,33,117,4,2,4,14,9,0.55,0.1
60,8,ORD-INTER,54,2,65,33,90,4,2,4,14,9,0.55,0.1
61,8,ORD-UNION,53,1,59,33,84,4,2,4,14,9,0.55,0.1
62,8,ORD-COMP,37,1,40,33,65,4,2,4,14,9,0.55,0.1
63,8,ORD-COMP,37,1,40,33,65,4,2,4,14,9,0.55,0.1
64,9,CARD,45,2,54,41,96,5,2,4,14,9,0.55,0.1
65,9,CARD_COMP,45,2,54,41,96,5,2,4,14,9,0.55,0.1
66,9,CLF_COMP,46,4,73,41,105,5,2,4,14,9,0.55,0.1
67,9,CLF_UNION,46,4,73,41,105,5,2,4,14,9,0.55,0.1
68,9,ORD-INTER,45,1,51,41,83,5,2,4,14,9,0.55,0.1
69,9,ORD-UNION,45,1,51,41,83,5,2,4,14,9,0.55,0.1
70,9,ORD-COMP,45,1,51,41,83,5,2,4,14,9,0.55,0.1
71,9,ORD-COMP,45,1,51,41,83,5,2,4,14,9,0.55,0.1
72,10,CARD,41,1,49,49,94,5,2,4,14,9,0.55,0.1
73,10,CARD_COMP,41,1,49,49,94,5,2,4,14,9,0.55,0.1
74,10,CLF_COMP,39,6,69,49,108,5,2,4,14,9,0.55,0.1
75,10,CLF_UNION,39,6,69,49,108,5,2,4,14,9,0.55,0.1
76,10,ORD-INTER,39,1,46,49,85,5,2,4,14,9,0.55,0.1
77,10,ORD-UNION,39,1,46,49,85,5,2,4,14,9,0.55,0.1
78,10,ORD-COMP,39,1,46,49,85,5,2,4,14,9,0.55,0.1
79,10,ORD-COMP,39,1,46,49,85,5,2,4,14,9,0.55,0.1
80,11,CARD,33,1,41,58,94,5,2,4,14,9,0.55,0.1
81,11,CARD_COMP,33,1,41,58,94,5,2,4,14,9,0.55,0.1
82,11,CLF_COMP,32,4,59,58,106,5,2,4,14,9,0.55,0.1
83,11,CLF_UNION,32,4,59,58,106,5,2,4,14,9,0.55,0.1
84,11,ORD-INTER,31,1,38,58,85,5,2,4,14,9,0.55,0.1
85,11,ORD-UNION,31,1,38,58,85,5,2,4,14,9,0.55,0.1
86,11,ORD-COMP,31,1,38,58,85,5,2,4,14,9,0.55,0.1
87,11,ORD-COMP,31,1,38,58,85,5,2,4,14,9,0.55,0.1
88,12,CARD,24,1,33,69,92,5,2,4,14,9,0.55,0.1
89,12,CARD_COMP,24,1,33,69,92,5,2,4,14,9,0.55,0.1
90,12,CLF_COMP,24,2,50,69,107,5,2,4,14,9,0.55,0.1
91,12,CLF_UNION,24,2,50,69,107,5,2,4,14,9,0.55,0.1
92,12,ORD-INTER,22,1,30,69,87,5,2,4,14,9,0.55,0.1
93,12,ORD-UNION,22,1,30,69,87,5,2,4,14,9,0.55,0.1
94,12,ORD-COMP,22,1,30,69,87,5,2,4,14,9,0.55,0.1
95,12,ORD-COMP,22,1,30,69,87,5,2,4,14,9,0.55,0.1
96,13,CARD,12,1,22,82,91,5,2,4,14,9,0.55,0.1
97,13,CARD_COMP,12,1,22,82,91,5,2,4,14,9,0.55,0.1
98,13,CLF_COMP,12,2,37,82,106,5,2,4,14,9,0.55,0.1
99,13,CLF_UNION,12,2,37,82,106,5,2,4,14,9,0.55,0.1
100,13,ORD-INTER,12,1,21,82,90,5,2,4,14,9,0.55,0.1
101,13,ORD-UNION,12,1,21,82,90,5,2,4,14,9,0.55,0.1
