,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,37,0,49,1,133,1,1,4,14,3,0.1,0.9
1,1,CARD_COMP,37,0,49,1,133,1,1,4,14,3,0.1,0.9
2,1,CLF_COMP,53,16,147,1,147,1,1,4,14,3,0.1,0.9
3,1,CLF_UNION,53,16,147,1,147,1,1,4,14,3,0.1,0.9
4,1,ORD-INTER,53,16,133,1,133,1,1,4,14,3,0.1,0.9
5,1,ORD-UNION,37,0,49,1,49,1,1,4,14,3,0.1,0.9
6,1,ORD-COMP,37,0,49,1,49,1,1,4,14,3,0.1,0.9
7,1,ORD-COMP,37,0,49,1,49,1,1,4,14,3,0.1,0.9
8,2,CARD,37,0,49,2,133,1,1,4,14,3,0.1,0.9
9,2,CARD_COMP,37,0,49,2,133,1,1,4,14,3,0.1,0.9
10,2,CLF_COMP,53,16,147,2,147,1,1,4,14,3,0.1,0.9
11,2,CLF_UNION,53,16,147,2,147,1,1,4,14,3,0.1,0.9
12,2,ORD-INTER,53,16,133,2,133,1,1,4,14,3,0.1,0.9
13,2,ORD-UNION,37,0,49,2,49,1,1,4,14,3,0.1,0.9
14,2,ORD-COMP,37,0,49,2,49,1,1,4,14,3,0.1,0.9
15,2,ORD-COMP,37,0,49,2,49,1,1,4,14,3,0.1,0.9
16,3,CARD,37,6,71,5,109,2,1,4,14,3,0.1,0.9
17,3,CARD_COMP,37,6,71,5,109,2,1,4,14,3,0.1,0.9
18,3,CLF_COMP,51,16,145,5,147,2,1,4,14,3,0.1,0.9
19,3,CLF_UNION,51,16,145,5,147,2,1,4,14,3,0.1,0.9
20,3,ORD-INTER,45,14,107,5,109,2,1,4,14,3,0.1,0.9
21,3,ORD-UNION,37,6,71,5,73,2,1,4,14,3,0.1,0.9
22,3,ORD-COMP,37,6,71,5,73,2,1,4,14,3,0.1,0.9
23,3,ORD-COMP,37,6,71,5,73,2,1,4,14,3,0.1,0.9
24,4,CARD,43,2,78,7,101,3,1,4,14,3,0.1,0.9
25,4,CARD_COMP,43,2,78,7,101,3,1,4,14,3,0.1,0.9
26,4,CLF_COMP,50,14,136,7,139,3,1,4,14,3,0.1,0.9
27,4,CLF_UNION,50,14,136,7,139,3,1,4,14,3,0.1,0.9
28,4,ORD-INTER,36,5,70,7,73,3,1,4,14,3,0.1,0.9
29,4,ORD-UNION,33,2,58,7,61,3,1,4,14,3,0.1,0.9
30,4,ORD-COMP,33,2,58,7,61,3,1,4,14,3,0.1,0.9
31,4,ORD-COMP,33,2,58,7,61,3,1,4,14,3,0.1,0.9
32,5,CARD,47,0,75,11,101,3,1,4,14,3,0.1,0.9
33,5,CARD_COMP,47,0,75,11,101,3,1,4,14,3,0.1,0.9
34,5,CLF_COMP,47,0,113,11,119,3,1,4,14,3,0.1,0.9
35,5,CLF_UNION,47,0,113,11,119,3,1,4,14,3,0.1,0.9
36,5,ORD-INTER,47,0,79,11,85,3,1,4,14,3,0.1,0.9
37,5,ORD-UNION,47,0,67,11,73,3,1,4,14,3,0.1,0.9
38,5,ORD-COMP,47,0,67,11,73,3,1,4,14,3,0.1,0.9
39,5,ORD-COMP,47,0,67,11,73,3,1,4,14,3,0.1,0.9
40,6,CARD,45,0,69,14,105,3,1,4,14,3,0.1,0.9
41,6,CARD_COMP,45,0,69,14,105,3,1,4,14,3,0.1,0.9
42,6,CLF_COMP,45,0,103,14,111,3,1,4,14,3,0.1,0.9
43,6,CLF_UNION,45,0,103,14,111,3,1,4,14,3,0.1,0.9
44,6,ORD-INTER,45,0,77,14,85,3,1,4,14,3,0.1,0.9
45,6,ORD-UNION,45,0,65,14,73,3,1,4,14,3,0.1,0.9
46,6,ORD-COMP,45,0,65,14,73,3,1,4,14,3,0.1,0.9
47,6,ORD-COMP,45,0,65,14,73,3,1,4,14,3,0.1,0.9
48,7,CARD,43,0,67,17,105,3,1,4,14,3,0.1,0.9
49,7,CARD_COMP,43,0,67,17,105,3,1,4,14,3,0.1,0.9
50,7,CLF_COMP,43,0,105,17,115,3,1,4,14,3,0.1,0.9
51,7,CLF_UNION,43,0,105,17,115,3,1,4,14,3,0.1,0.9
52,7,ORD-INTER,43,0,75,17,85,3,1,4,14,3,0.1,0.9
53,7,ORD-UNION,43,0,63,17,73,3,1,4,14,3,0.1,0.9
54,7,ORD-COMP,43,0,63,17,73,3,1,4,14,3,0.1,0.9
55,7,ORD-COMP,43,0,63,17,73,3,1,4,14,3,0.1,0.9
56,8,CARD,36,0,60,25,105,3,1,4,14,3,0.1,0.9
57,8,CARD_COMP,36,0,60,25,105,3,1,4,14,3,0.1,0.9
58,8,CLF_COMP,36,0,94,25,111,3,1,4,14,3,0.1,0.9
59,8,CLF_UNION,36,0,94,25,111,3,1,4,14,3,0.1,0.9
60,8,ORD-INTER,36,0,68,25,85,3,1,4,14,3,0.1,0.9
61,8,ORD-UNION,36,0,56,25,73,3,1,4,14,3,0.1,0.9
62,8,ORD-COMP,36,0,56,25,73,3,1,4,14,3,0.1,0.9
63,8,ORD-COMP,36,0,56,25,73,3,1,4,14,3,0.1,0.9
64,9,CARD,33,0,57,29,105,3,1,4,14,3,0.1,0.9
