,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,45,0,49,1,133,1,1,4,14,6,0.1,0.9
1,1,CARD_COMP,45,0,49,1,133,1,1,4,14,6,0.1,0.9
2,1,CLF_COMP,75,30,147,1,147,1,1,4,14,6,0.1,0.9
3,1,CLF_UNION,75,30,147,1,147,1,1,4,14,6,0.1,0.9
4,1,ORD-INTER,75,30,133,1,133,1,1,4,14,6,0.1,0.9
5,1,ORD-UNION,45,0,49,1,49,1,1,4,14,6,0.1,0.9
6,1,ORD-COMP,45,0,49,1,49,1,1,4,14,6,0.1,0.9
7,1,ORD-COMP,45,0,49,1,49,1,1,4,14,6,0.1,0.9
8,2,CARD,54,7,72,3,109,2,1,4,14,6,0.1,0.9
9,2,CARD_COMP,54,7,72,3,109,2,1,4,14,6,0.1,0.9
10,2,CLF_COMP,67,34,138,3,139,2,1,4,14,6,0.1,0.9
11,2,CLF_UNION,67,34,138,3,139,2,1,4,14,6,0.1,0.9
12,2,ORD-INTER,53,20,92,3,93,2,1,4,14,6,0.1,0.9
13,2,ORD-UNION,40,7,56,3,57,2,1,4,14,6,0.1,0.9
14,2,ORD-COMP,40,7,56,3,57,2,1,4,14,6,0.1,0.9
15,2,ORD-COMP,40,7,56,3,57,2,1,4,14,6,0.1,0.9
16,3,CARD,61,2,74,6,105,3,1,4,14,6,0.1,0.9
17,3,CARD_COMP,61,2,74,6,105,3,1,4,14,6,0.1,0.9
18,3,CLF_COMP,65,34,136,6,139,3,1,4,14,6,0.1,0.9
19,3,CLF_UNION,65,34,136,6,139,3,1,4,14,6,0.1,0.9
20,3,ORD-INTER,51,6,70,6,73,3,1,4,14,6,0.1,0.9
21,3,ORD-UNION,47,2,58,6,61,3,1,4,14,6,0.1,0.9
22,3,ORD-COMP,47,2,58,6,61,3,1,4,14,6,0.1,0.9
23,3,ORD-COMP,47,2,58,6,61,3,1,4,14,6,0.1,0.9
24,4,CARD,59,2,72,9,105,3,1,4,14,6,0.1,0.9
25,4,CARD_COMP,59,2,72,9,105,3,1,4,14,6,0.1,0.9
26,4,CLF_COMP,63,11,106,9,111,3,1,4,14,6,0.1,0.9
27,4,CLF_UNION,63,11,106,9,111,3,1,4,14,6,0.1,0.9
